Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Fourd,suv,6,1994,"111,291 SAR",2000,"47,576 SAR",114577,5.66,4WD,standard,Dhahran,7,2,White,individual,0
Nesshan,sedan,4,2001,"50,729 SAR",2005,"32,667 SAR",37251,24.96,2WD,standard,Dhahran,11,3,Gray,individual,1
Fourd,suv,6,2003,"110,836 SAR",2007,"62,123 SAR",34340,2.12,2WD,standard,Riyadh,3,1,Black,individual,0
Geep,suv,8,1993,"109,109 SAR",1999,"44,201 SAR",280066,2.11,4WD,standard,Riyadh,4,4,White,company,1
Fourd,suv,8,1997,"98,419 SAR",2001,"49,647 SAR",71864,3.78,2WD,standard,Dammam,5,1,Red,individual,0
Honta,sedan,4,2001,"85,225 SAR",2005,"55,172 SAR",177188,18.34,4WD,premium,Makkah,3,3,Black,individual,0
Honta,sedan,4,1998,"57,364 SAR",2006,"19,826 SAR",274635,26.49,4WD,standard,Dammam,1,3,Silver,individual,1
Nesshan,suv,4,2001,"106,532 SAR",2009,"33,557 SAR",137005,10.98,2WD,premium,Dhahran,1,1,Gray,individual,0
BeEmW,crossover,4,1992,"71,313 SAR",1997,"31,705 SAR",112315,7.49,2WD,standard,Makkah,5,2,Black,company,0
Honta,sedan,4,1997,"46,866 SAR",2002,"25,332 SAR",107347,22.53,2WD,standard,Madinah,7,3,Blue,individual,0
Wolksvagon,sedan,4,1996,"55,136 SAR",2002,"31,307 SAR",51770,17.19,2WD,standard,Jeddah,6,4,Black,individual,1
Fourd,suv,6,1992,"106,969 SAR",1996,"53,960 SAR",83708,5.37,4WD,standard,Madinah,7,2,Red,individual,0
Fourd,suv,4,2001,"127,838 SAR",2003,"75,800 SAR",84593,4.38,4WD,standard,Riyadh,10,1,Silver,individual,0
JournalMotors,crossover,6,1994,"89,033 SAR",1994,"60,898 SAR",698,3.91,4WD,standard,Madinah,3,3,Black,individual,0
Honta,sedan,4,1992,"42,448 SAR",1997,"22,944 SAR",71974,22.46,2WD,standard,Riyadh,4,2,White,individual,0
Toyoda,sedan,8,2004,"77,522 SAR",2009,"41,722 SAR",98751,8.26,4WD,standard,Riyadh,9,2,Brown,company,0
Fourd,crossover,4,2004,"90,442 SAR",2007,"51,036 SAR",37304,8.16,2WD,standard,Madinah,8,3,White,individual,0
Toyoda,suv,4,2003,"95,002 SAR",2004,"83,031 SAR",38424,10.42,2WD,standard,Jeddah,2,3,Blue,individual,0
Toyoda,crossover,4,2004,"77,522 SAR",2010,"44,129 SAR",122887,18.09,2WD,standard,Makkah,8,2,White,individual,0
Huendae,sedan,4,2007,"57,129 SAR",2012,"28,073 SAR",262457,13.73,2WD,standard,Jeddah,3,2,Blue,individual,0
Shevy,suv,4,1994,"111,291 SAR",2000,"49,955 SAR",121757,2.91,4WD,standard,Dammam,10,3,Blue,individual,1
JournalMotors,suv,4,1993,"90,924 SAR",1996,"48,742 SAR",115673,4.33,2WD,standard,Makkah,4,1,Black,individual,0
Fourd,suv,4,1991,"87,393 SAR",2000,"24,907 SAR",71150,3.66,2WD,standard,Makkah,3,3,Blue,individual,0
Shevy,suv,4,1996,"96,489 SAR",2003,"43,311 SAR",143689,5.63,2WD,standard,Makkah,12,2,White,company,1
Shevy,suv,4,2006,"117,620 SAR",2013,"47,768 SAR",295326,5.74,2WD,standard,Riyadh,5,1,Silver,individual,0
Toyoda,sedan,8,1991,"59,927 SAR",1995,"36,502 SAR",172183,10.47,4WD,standard,Riyadh,8,2,Black,individual,1
Fourd,sedan,4,2000,"83,554 SAR",2004,"44,256 SAR",78921,8.86,4WD,standard,Jeddah,6,1,Gray,individual,1
Fourd,sedan,4,2005,"92,251 SAR",2007,"63,976 SAR",36020,9.63,4WD,standard,Jeddah,2,2,Black,individual,0
Honta,suv,4,2005,"98,840 SAR",2009,"55,108 SAR",87817,12.7,4WD,standard,Dammam,7,1,Silver,individual,0
Huendae,crossover,8,1999,"58,511 SAR",2005,"32,254 SAR",124636,7.71,2WD,standard,Riyadh,3,1,Brown,individual,1
Nesshan,crossover,4,2005,"79,072 SAR",2011,"37,268 SAR",294353,13.31,4WD,standard,Dammam,8,2,Black,company,1
Nesshan,sedan,6,1996,"55,136 SAR",2002,"27,224 SAR",56259,15.8,4WD,standard,Makkah,5,4,White,individual,0
JournalMotors,suv,4,2004,"113,052 SAR",2009,"50,402 SAR",197176,4.77,2WD,standard,Dhahran,3,4,White,company,0
Toyoda,crossover,4,2005,"94,886 SAR",2007,"68,106 SAR",84581,11.38,4WD,standard,Makkah,5,1,Silver,company,0
JournalMotors,crossover,8,2003,"124,136 SAR",2008,"55,190 SAR",90673,3.4,2WD,premium,Makkah,5,2,White,company,0
Toyoda,suv,6,2006,"100,817 SAR",2011,"51,546 SAR",196018,7.93,2WD,standard,Riyadh,5,2,Black,individual,0
JournalMotors,sedan,4,1993,"72,739 SAR",1998,"35,843 SAR",207442,8.93,4WD,standard,Makkah,3,3,White,company,1
Nesshan,sedan,4,1992,"42,448 SAR",1995,"29,122 SAR",31788,22.62,2WD,standard,Madinah,4,2,Black,individual,0
Shevy,crossover,4,2002,"104,316 SAR",2005,"55,922 SAR",147746,10.74,4WD,standard,Jeddah,5,1,White,individual,0
JournalMotors,sedan,6,2006,"78,413 SAR",2011,"33,119 SAR",225476,6.98,2WD,standard,Makkah,6,2,Silver,individual,0
Huendae,suv,4,1999,"73,139 SAR",2003,"38,739 SAR",143687,8.15,2WD,standard,Riyadh,8,3,Red,company,0
Toyoda,suv,6,1992,"128,363 SAR",1997,"76,761 SAR",102172,8.69,4WD,premium,Dammam,2,3,Silver,individual,0
Toyoda,crossover,4,2004,"130,236 SAR",2009,"77,881 SAR",89240,12.6,4WD,premium,Makkah,2,1,Brown,individual,0
Shevy,crossover,6,2002,"104,316 SAR",2008,"46,824 SAR",112792,7.22,4WD,standard,Jeddah,5,2,Black,individual,1
JournalMotors,suv,6,2006,"164,668 SAR",2012,"78,217 SAR",50449,3.27,2WD,premium,Makkah,3,2,Gray,individual,0
JournalMotors,crossover,6,1997,"78,735 SAR",2001,"39,717 SAR",98628,5.21,2WD,standard,Jeddah,4,2,Blue,individual,0
JournalMotors,suv,4,2005,"138,376 SAR",2011,"62,442 SAR",233518,5.82,4WD,standard,Dammam,2,1,White,company,0
Toyoda,sedan,8,1997,"56,239 SAR",2001,"38,158 SAR",78328,9.73,2WD,standard,Riyadh,2,2,Silver,individual,0
JournalMotors,suv,4,2000,"125,332 SAR",2006,"50,900 SAR",235005,6.67,4WD,standard,Dammam,4,3,Silver,individual,0
Huendae,crossover,8,1999,"58,511 SAR",2004,"28,752 SAR",92707,10.09,2WD,standard,Madinah,5,2,White,company,0
Toyoda,sedan,4,1999,"58,511 SAR",2003,"37,337 SAR",135554,16.58,2WD,standard,Jeddah,4,1,Black,individual,0
Honta,sedan,8,1995,"54,055 SAR",2002,"25,477 SAR",343055,12.89,4WD,standard,Madinah,13,3,Silver,individual,1
JournalMotors,suv,8,1995,"94,597 SAR",2000,"42,057 SAR",97460,2.51,2WD,standard,Jeddah,8,2,Silver,company,0
Honta,suv,4,2004,"80,752 SAR",2007,"47,846 SAR",59599,10.41,2WD,standard,Dhahran,11,4,Silver,individual,0
Mercetes,suv,4,1999,"102,395 SAR",2001,"71,010 SAR",14795,2.83,2WD,standard,Dammam,3,1,Brown,individual,0
Honta,sedan,4,2007,"57,129 SAR",2010,"39,096 SAR",67254,22.02,2WD,standard,Dammam,5,4,Gray,individual,1
Mercetes,suv,4,2005,"115,313 SAR",2009,"58,169 SAR",34337,5.07,2WD,standard,Dammam,6,1,Blue,individual,0
Shevy,crossover,4,2001,"143,179 SAR",2007,"61,209 SAR",54058,3.57,4WD,premium,Dammam,12,3,Silver,individual,0
Fourd,crossover,4,1999,"81,916 SAR",2002,"46,225 SAR",37888,4.14,2WD,standard,Riyadh,4,2,Silver,individual,0
Toyoda,suv,8,2008,"104,890 SAR",2011,"75,232 SAR",158517,7.85,2WD,standard,Dammam,2,1,Black,individual,1
Toyoda,sedan,4,2003,"63,334 SAR",2007,"40,415 SAR",153066,15.31,2WD,standard,Jeddah,4,1,Silver,individual,0
Toyoda,crossover,4,2004,"130,236 SAR",2011,"67,397 SAR",143884,14.11,4WD,premium,Dhahran,9,2,Brown,individual,0
Huendae,sedan,8,2006,"56,009 SAR",2015,"15,084 SAR",92009,8.58,2WD,standard,Madinah,10,4,Black,individual,0
Fourd,crossover,4,2004,"108,530 SAR",2006,"60,965 SAR",101612,7.09,4WD,standard,Dammam,7,3,White,individual,0
Fourd,sedan,4,2003,"73,890 SAR",2006,"46,213 SAR",139472,6.23,2WD,standard,Riyadh,3,2,Brown,individual,1
BeEmW,suv,6,1999,"102,395 SAR",2003,"57,392 SAR",31811,4.95,2WD,standard,Makkah,1,3,Gray,individual,0
Toyoda,suv,6,1995,"81,083 SAR",2001,"46,622 SAR",122557,11.06,2WD,standard,Jeddah,1,3,Red,individual,0
Huendae,sedan,6,1993,"72,739 SAR",1995,"57,956 SAR",19433,18.62,4WD,premium,Makkah,7,3,Blue,company,1
JournalMotors,sedan,4,1998,"66,925 SAR",2006,"19,073 SAR",96618,11.1,2WD,standard,Riyadh,2,2,Red,company,0
Masda,suv,4,2001,"76,094 SAR",2009,"22,771 SAR",324221,12.24,2WD,standard,Madinah,3,3,Silver,company,0
Fourd,sedan,4,2005,"76,875 SAR",2012,"34,507 SAR",129498,6.65,2WD,standard,Madinah,6,3,Silver,individual,1
Toyoda,crossover,4,2007,"82,266 SAR",2011,"50,235 SAR",82475,13.18,2WD,standard,Dammam,11,2,Blue,individual,0
Shevy,suv,8,2005,"115,313 SAR",2010,"51,268 SAR",96062,1.81,2WD,standard,Jeddah,7,3,Silver,individual,0
Shevy,crossover,4,2005,"110,701 SAR",2009,"58,635 SAR",25712,3.16,4WD,standard,Riyadh,5,1,Red,company,1
Huendae,suv,6,2004,"80,752 SAR",2006,"55,861 SAR",66773,9.07,2WD,standard,Dhahran,2,4,Red,individual,0
Wolksvagon,suv,4,2008,"125,868 SAR",2011,"95,533 SAR",17615,11.48,4WD,standard,Dammam,0,3,White,individual,0
Fourd,suv,4,2003,"186,204 SAR",2010,"83,582 SAR",164012,5.53,4WD,premium,Jeddah,8,2,Gray,individual,1
Fourd,suv,4,2005,"115,313 SAR",2010,"56,964 SAR",49106,4.17,2WD,standard,Dammam,3,3,Red,individual,0
Geep,suv,4,2006,"197,602 SAR",2008,"143,888 SAR",44020,5.4,4WD,premium,Dammam,3,1,Gray,individual,1
Masda,suv,4,2006,"84,014 SAR",2006,"63,514 SAR",1017,8.71,2WD,standard,Riyadh,1,2,Gray,individual,0
Honta,suv,4,2001,"106,532 SAR",2006,"67,182 SAR",101937,17.35,2WD,premium,Jeddah,3,2,Gray,company,1
Masda,sedan,4,1993,"43,297 SAR",1995,"29,868 SAR",15398,10.97,2WD,standard,Dhahran,6,1,White,individual,0
Shevy,sedan,4,2004,"75,368 SAR",2007,"42,530 SAR",72019,5.2,2WD,standard,Dhahran,6,2,Black,individual,0
Toyoda,sedan,4,2008,"69,926 SAR",2013,"41,397 SAR",51540,18.43,2WD,standard,Madinah,5,2,Gray,individual,0
Fourd,suv,4,1995,"94,597 SAR",1996,"64,704 SAR",13498,5.57,2WD,standard,Jeddah,10,1,Silver,individual,0
Huendae,sedan,4,1995,"45,046 SAR",1998,"30,904 SAR",33456,16.52,2WD,standard,Makkah,11,2,Gray,company,0
Huendae,sedan,6,1994,"44,163 SAR",2002,"12,520 SAR",176337,12.08,2WD,standard,Makkah,5,1,Black,company,0
Huendae,suv,4,2004,"80,752 SAR",2009,"39,681 SAR",114870,12.9,2WD,standard,Madinah,9,2,Brown,individual,0
Honta,sedan,8,2000,"49,734 SAR",2005,"25,797 SAR",51336,7.32,2WD,standard,Riyadh,3,4,Gray,company,0
JournalMotors,suv,4,1995,"94,597 SAR",1999,"50,370 SAR",177819,5.57,2WD,standard,Makkah,2,2,Black,individual,0
Nesshan,suv,4,1991,"74,908 SAR",1994,"46,603 SAR",135350,12.51,4WD,standard,Jeddah,4,2,Black,individual,1
Fourd,sedan,4,2005,"76,875 SAR",2011,"34,507 SAR",44288,6.97,2WD,standard,Dhahran,6,1,Black,company,1
Wolksvagon,suv,6,1994,"111,291 SAR",1996,"84,085 SAR",43493,7.56,2WD,premium,Dammam,11,1,Red,individual,0
Mercetes,sedan,6,2004,"75,368 SAR",2012,"19,331 SAR",43636,4.87,2WD,standard,Madinah,7,2,White,individual,0
Shevy,suv,6,2001,"106,532 SAR",2004,"57,110 SAR",114340,3.5,2WD,standard,Riyadh,5,3,Red,individual,0
Huendae,sedan,4,2003,"63,334 SAR",2004,"45,031 SAR",53289,17.37,4WD,standard,Dammam,11,4,Gray,individual,0
Huendae,crossover,4,2000,"83,554 SAR",2008,"28,951 SAR",52035,18.16,2WD,premium,Madinah,3,3,Blue,individual,0
Masda,suv,8,2003,"95,002 SAR",2005,"65,537 SAR",31471,9.15,4WD,standard,Riyadh,6,3,Red,individual,0
Masda,crossover,4,2003,"63,334 SAR",2008,"29,566 SAR",192725,12.04,2WD,standard,Jeddah,4,3,Brown,individual,0
Honta,sedan,4,2008,"58,272 SAR",2008,"41,432 SAR",980,24.68,2WD,standard,Dhahran,4,4,Silver,individual,0
Nesshan,crossover,4,2002,"74,511 SAR",2009,"36,966 SAR",127301,13.93,4WD,standard,Dhahran,12,2,Gray,individual,1
Toyoda,sedan,4,2006,"80,653 SAR",2007,"69,785 SAR",34702,17.05,4WD,standard,Riyadh,9,2,Gray,individual,0
Honta,sedan,8,2006,"56,009 SAR",2013,"27,787 SAR",153056,10.24,2WD,standard,Makkah,5,3,Blue,individual,1
Huendae,sedan,8,2006,"67,211 SAR",2013,"31,757 SAR",142917,11.3,4WD,standard,Madinah,13,3,White,individual,0
JournalMotors,crossover,4,2002,"104,316 SAR",2005,"65,242 SAR",129753,3.87,4WD,standard,Madinah,3,1,Blue,individual,1
Fourd,suv,4,2005,"115,313 SAR",2010,"56,822 SAR",188390,4.76,2WD,standard,Riyadh,2,2,White,company,1
Toyoda,sedan,8,2001,"102,271 SAR",2005,"62,451 SAR",82717,10.59,4WD,premium,Makkah,6,3,Black,company,0
Fourd,sedan,4,1998,"66,925 SAR",2001,"35,877 SAR",117134,8.5,2WD,standard,Jeddah,5,1,Silver,individual,0
Huendae,crossover,4,2001,"102,271 SAR",2007,"55,813 SAR",67244,15.3,4WD,premium,Dammam,8,1,Gray,individual,1
JournalMotors,crossover,4,2003,"88,668 SAR",2010,"42,012 SAR",317698,5.33,2WD,standard,Jeddah,2,3,Gray,individual,1
Masda,sedan,6,2004,"53,834 SAR",2008,"31,365 SAR",80673,15.39,2WD,standard,Dhahran,8,4,Black,individual,0
Masda,sedan,6,2003,"52,779 SAR",2008,"27,232 SAR",41068,14.77,2WD,standard,Dhahran,6,2,Silver,individual,1
JournalMotors,suv,4,2005,"115,313 SAR",2007,"71,972 SAR",47183,6.13,2WD,standard,Madinah,4,1,Silver,company,0
Fourd,suv,4,1997,"137,787 SAR",2000,"73,865 SAR",124915,3.68,2WD,premium,Madinah,12,1,Silver,individual,0
Toyoda,crossover,4,2002,"74,511 SAR",2005,"55,848 SAR",109213,16.5,2WD,standard,Riyadh,4,2,Black,individual,1
Geep,sedan,4,1996,"90,056 SAR",1999,"48,277 SAR",113026,7.47,2WD,premium,Madinah,10,1,White,company,0
Huendae,sedan,4,2004,"53,834 SAR",2008,"31,365 SAR",78478,21.92,2WD,standard,Riyadh,6,4,Black,company,0
Fourd,suv,4,2003,"110,836 SAR",2009,"52,647 SAR",132987,3.42,2WD,standard,Makkah,2,2,Black,company,0
Masda,suv,8,1993,"64,945 SAR",1995,"47,042 SAR",45825,5.43,2WD,standard,Riyadh,8,2,Black,individual,1
Shevy,suv,4,2008,"122,372 SAR",2011,"80,563 SAR",52010,2.83,2WD,standard,Riyadh,3,2,Black,individual,1
Wolksvagon,sedan,6,2004,"64,601 SAR",2010,"33,431 SAR",45193,13.02,2WD,standard,Dammam,11,2,Gray,individual,0
BeEmW,sedan,8,2001,"99,430 SAR",2009,"25,503 SAR",179619,5.47,2WD,premium,Makkah,6,2,Silver,individual,0
Honta,suv,4,2002,"108,662 SAR",2007,"65,262 SAR",118211,15.62,2WD,premium,Jeddah,1,2,Blue,individual,0
Shevy,sedan,4,2002,"101,418 SAR",2006,"56,844 SAR",93263,12.28,2WD,premium,Dammam,2,1,Brown,individual,0
Fourd,crossover,6,1993,"87,287 SAR",1998,"40,748 SAR",82824,3.94,4WD,standard,Riyadh,5,1,Gray,individual,1
Huendae,crossover,6,2007,"82,266 SAR",2011,"50,963 SAR",42080,12.92,4WD,standard,Madinah,3,1,Black,individual,0
Wolksvagon,suv,4,1999,"87,767 SAR",2007,"30,279 SAR",148712,7.04,2WD,standard,Dammam,2,1,Black,company,0
BeEmW,sedan,4,2004,"75,368 SAR",2006,"47,040 SAR",19771,3.64,2WD,standard,Makkah,12,3,White,company,0
Wolksvagon,sedan,6,1998,"57,364 SAR",2002,"40,867 SAR",36789,7.5,2WD,standard,Dammam,3,3,Gray,individual,1
JournalMotors,sedan,4,2003,"73,890 SAR",2009,"30,008 SAR",129048,7.98,2WD,standard,Dhahran,4,4,Gray,individual,0
Huendae,crossover,4,2000,"59,681 SAR",2005,"32,259 SAR",32291,16.44,2WD,standard,Makkah,13,3,Brown,individual,0
Nesshan,suv,4,2004,"80,752 SAR",2005,"67,153 SAR",16349,16.56,2WD,standard,Makkah,10,2,Black,individual,0
Fourd,crossover,8,2001,"102,271 SAR",2003,"67,024 SAR",17850,3.75,4WD,standard,Riyadh,10,2,White,individual,1
Shevy,suv,4,1998,"100,387 SAR",2004,"42,915 SAR",106332,6.69,2WD,standard,Dhahran,9,2,White,individual,0
Wolksvagon,suv,8,1995,"97,300 SAR",1997,"77,190 SAR",35560,6.33,4WD,standard,Jeddah,5,2,Red,company,1
Fourd,suv,4,1996,"115,787 SAR",1998,"75,881 SAR",16853,2.92,4WD,standard,Makkah,8,2,Gray,individual,1
Honta,suv,8,2002,"77,616 SAR",2009,"38,507 SAR",148838,9.44,2WD,standard,Madinah,8,1,White,individual,1
Toyoda,crossover,8,1999,"70,214 SAR",2002,"47,963 SAR",38918,5.8,2WD,standard,Makkah,11,3,Black,individual,0
JournalMotors,sedan,4,2006,"94,096 SAR",2010,"47,466 SAR",82049,6.91,4WD,standard,Makkah,5,3,Blue,company,0
Masda,crossover,8,1997,"56,239 SAR",2001,"32,923 SAR",41350,6.55,2WD,standard,Dhahran,8,3,Blue,individual,1
JournalMotors,sedan,4,1993,"60,616 SAR",2000,"24,617 SAR",313003,9.98,2WD,standard,Riyadh,5,1,Gray,individual,0
Masda,suv,4,2001,"76,094 SAR",2006,"35,522 SAR",216934,10.54,2WD,standard,Dammam,9,2,Red,individual,0
BeEmW,sedan,4,2004,"75,368 SAR",2008,"36,118 SAR",173103,4.85,2WD,standard,Jeddah,10,1,White,individual,0
Fourd,suv,4,1998,"100,387 SAR",2005,"40,769 SAR",298676,4.83,2WD,standard,Riyadh,4,2,Gray,individual,0
Toyoda,crossover,8,2005,"79,072 SAR",2012,"38,873 SAR",257830,9.23,2WD,standard,Riyadh,5,1,Silver,individual,0
Huendae,sedan,8,2005,"54,911 SAR",2008,"39,765 SAR",117992,15.1,2WD,standard,Dammam,2,2,Black,individual,0
Mercetes,sedan,8,1999,"95,569 SAR",2005,"36,872 SAR",242152,6.16,2WD,premium,Jeddah,4,4,Blue,individual,0
Huendae,suv,8,1999,"73,139 SAR",2001,"47,932 SAR",83290,9.98,2WD,standard,Makkah,12,3,Black,company,0
Huendae,sedan,4,1998,"47,803 SAR",2000,"36,274 SAR",43437,17.84,2WD,standard,Makkah,9,1,Black,individual,0
Fourd,suv,4,1994,"92,742 SAR",1998,"46,666 SAR",167680,4.59,2WD,standard,Madinah,4,3,Blue,company,1
Shevy,sedan,4,1998,"66,925 SAR",2002,"32,072 SAR",157286,8.59,2WD,standard,Madinah,6,3,Silver,individual,0
Honta,sedan,4,2002,"51,744 SAR",2009,"28,238 SAR",69853,20.06,2WD,standard,Riyadh,4,1,Red,individual,1
Honta,sedan,6,2002,"51,744 SAR",2006,"33,321 SAR",63336,21.87,2WD,standard,Madinah,6,1,Black,individual,1
Masda,sedan,4,1998,"47,803 SAR",2005,"24,845 SAR",70881,15.25,2WD,standard,Madinah,4,2,Silver,individual,0
Shevy,suv,4,2005,"138,376 SAR",2009,"69,803 SAR",73678,5.93,4WD,standard,Makkah,4,2,Gray,company,0
Nesshan,sedan,6,2005,"54,911 SAR",2010,"25,634 SAR",208886,13.21,2WD,standard,Jeddah,10,1,Gray,individual,0
Shevy,crossover,4,1992,"71,313 SAR",1996,"35,973 SAR",42113,6.67,2WD,standard,Madinah,11,3,Black,individual,0
Geep,sedan,4,2006,"78,413 SAR",2011,"40,672 SAR",57516,5.76,2WD,standard,Madinah,3,3,Black,individual,1
Toyoda,crossover,4,2004,"77,522 SAR",2006,"58,425 SAR",64807,13.33,2WD,standard,Riyadh,9,1,Gray,company,1
Toyoda,sedan,4,1999,"58,511 SAR",2003,"39,204 SAR",139749,18.07,2WD,standard,Dammam,4,3,Silver,company,1
Huendae,suv,4,2007,"85,694 SAR",2010,"56,119 SAR",33071,8.49,2WD,standard,Jeddah,4,2,Black,company,1
Fourd,crossover,6,2002,"86,930 SAR",2007,"36,716 SAR",175405,6.25,2WD,standard,Makkah,8,3,Gray,individual,0
Shevy,sedan,4,2005,"76,875 SAR",2011,"32,864 SAR",140464,7.29,2WD,standard,Dammam,10,2,White,company,0
Wolksvagon,sedan,4,2001,"73,050 SAR",2004,"58,217 SAR",30872,13.26,4WD,standard,Dammam,3,1,Black,individual,1
Toyoda,sedan,4,1993,"51,956 SAR",1998,"27,962 SAR",54674,14.23,2WD,standard,Makkah,9,2,Silver,individual,0
Huendae,crossover,4,2005,"79,072 SAR",2011,"37,361 SAR",138879,13.84,4WD,standard,Riyadh,7,1,Gray,company,0
JournalMotors,sedan,8,2002,"72,441 SAR",2003,"49,549 SAR",8202,6.18,2WD,standard,Makkah,5,2,Blue,individual,0
BeEmW,suv,4,2002,"108,662 SAR",2005,"61,317 SAR",28626,7.42,2WD,standard,Dammam,6,3,White,individual,0
Fourd,sedan,4,2005,"92,251 SAR",2006,"63,099 SAR",9092,3.77,4WD,standard,Dhahran,6,2,Black,individual,0
Huendae,sedan,6,1999,"48,759 SAR",2004,"26,356 SAR",90513,15.32,2WD,standard,Makkah,5,3,Red,individual,0
Huendae,suv,4,2005,"98,840 SAR",2012,"49,036 SAR",141588,10.76,4WD,standard,Makkah,7,1,Blue,company,1
Nesshan,suv,8,2007,"102,833 SAR",2011,"63,545 SAR",134626,6.4,4WD,standard,Jeddah,2,3,Black,individual,1
Fourd,suv,4,2006,"117,620 SAR",2010,"62,300 SAR",81356,4.91,2WD,standard,Jeddah,10,1,Black,individual,1
Shevy,suv,4,1995,"158,924 SAR",1996,"108,704 SAR",22656,3.42,4WD,premium,Dhahran,7,2,Silver,individual,0
JournalMotors,suv,4,2004,"113,052 SAR",2007,"67,339 SAR",47111,3.87,2WD,standard,Madinah,2,4,White,individual,0
Masda,suv,8,1998,"120,465 SAR",2004,"54,073 SAR",275436,8.78,4WD,premium,Dammam,12,1,Gray,individual,0
Toyoda,sedan,4,1999,"70,214 SAR",2006,"39,969 SAR",141647,16.53,4WD,standard,Jeddah,6,2,Blue,individual,0
JournalMotors,sedan,6,2000,"69,628 SAR",2002,"45,631 SAR",42914,9.59,2WD,standard,Makkah,6,2,Gray,company,1
JournalMotors,suv,8,1998,"100,387 SAR",2001,"56,648 SAR",59118,3.21,2WD,standard,Madinah,5,1,Black,individual,0
JournalMotors,suv,4,1993,"90,924 SAR",1996,"59,859 SAR",27978,4.88,2WD,standard,Riyadh,3,2,White,individual,1
JournalMotors,sedan,4,2008,"114,213 SAR",2014,"56,963 SAR",118495,8.14,2WD,premium,Makkah,1,1,Blue,individual,1
Toyoda,suv,4,2004,"96,902 SAR",2009,"55,050 SAR",208302,13.61,2WD,standard,Dhahran,2,2,Red,individual,0
Wolksvagon,crossover,8,2003,"76,001 SAR",2007,"46,410 SAR",36112,7.45,2WD,standard,Madinah,7,1,White,individual,0
Shevy,sedan,6,2001,"71,021 SAR",2005,"37,816 SAR",166987,6.99,2WD,standard,Jeddah,2,2,Blue,individual,0
Huendae,sedan,8,1998,"66,925 SAR",2004,"33,203 SAR",117127,10.81,2WD,premium,Dammam,4,2,Red,individual,1
Huendae,suv,4,2003,"95,002 SAR",2008,"49,018 SAR",95911,11.6,4WD,standard,Dammam,5,1,Gray,individual,1
BeEmW,sedan,4,1992,"71,313 SAR",1997,"31,705 SAR",80367,7.68,4WD,standard,Riyadh,8,2,Gray,individual,0
Shevy,crossover,4,2003,"106,402 SAR",2009,"50,540 SAR",116973,7.75,4WD,standard,Madinah,2,2,Gray,individual,0
BeEmW,sedan,6,1999,"114,682 SAR",2003,"57,851 SAR",76003,9.14,4WD,premium,Riyadh,10,2,Black,individual,0
Toyoda,suv,4,2005,"98,840 SAR",2010,"62,061 SAR",84759,13.26,2WD,standard,Madinah,3,2,Black,individual,1
Nesshan,sedan,4,2006,"67,211 SAR",2009,"43,805 SAR",115637,22.43,4WD,standard,Dhahran,12,2,Silver,individual,0
Huendae,crossover,4,2005,"65,893 SAR",2010,"35,617 SAR",109071,17.15,2WD,standard,Dhahran,5,2,White,individual,0
JournalMotors,sedan,4,2000,"69,628 SAR",2004,"35,123 SAR",41749,7.79,2WD,standard,Madinah,6,2,Black,individual,0
Shevy,crossover,4,2006,"94,096 SAR",2010,"47,466 SAR",89193,9.03,2WD,standard,Riyadh,7,2,Black,individual,0
Fourd,suv,4,1998,"100,387 SAR",2000,"66,137 SAR",81823,6.87,2WD,standard,Jeddah,3,1,Blue,company,0
Toyoda,sedan,4,2005,"65,893 SAR",2011,"34,194 SAR",236148,13.33,2WD,standard,Dammam,1,4,White,company,0
Honta,crossover,4,2000,"59,681 SAR",2003,"35,361 SAR",113704,13.42,2WD,standard,Makkah,4,2,Red,company,0
Huendae,sedan,4,1999,"48,759 SAR",2006,"24,318 SAR",315272,14.82,2WD,standard,Madinah,0,3,Red,individual,0
Masda,crossover,4,2006,"67,211 SAR",2013,"30,169 SAR",277301,10.58,2WD,standard,Riyadh,7,2,Black,individual,0
Masda,suv,6,2005,"82,367 SAR",2013,"24,648 SAR",307462,9.33,2WD,standard,Madinah,3,2,Silver,individual,0
Honta,sedan,4,2005,"54,911 SAR",2010,"32,979 SAR",117525,18.69,2WD,standard,Dhahran,2,3,Gray,individual,0
Toyoda,suv,8,2005,"98,840 SAR",2012,"53,707 SAR",96720,8.11,2WD,standard,Dammam,6,2,Gray,individual,1
Nesshan,sedan,6,2005,"65,893 SAR",2009,"36,738 SAR",48007,13.44,4WD,standard,Jeddah,4,3,White,company,0
Masda,sedan,4,1998,"47,803 SAR",2003,"28,710 SAR",43939,19.48,2WD,standard,Jeddah,3,3,Black,individual,0
Honta,suv,6,2003,"79,168 SAR",2005,"54,614 SAR",17338,11.32,2WD,standard,Dammam,7,3,Silver,individual,0
Shevy,sedan,6,2002,"72,441 SAR",2008,"30,968 SAR",50965,3.93,2WD,standard,Madinah,8,2,White,individual,0
Mercetes,sedan,6,1999,"81,916 SAR",2000,"62,256 SAR",9533,7.02,4WD,standard,Makkah,2,3,Red,individual,0
Huendae,suv,4,2003,"79,168 SAR",2006,"49,377 SAR",26842,12.65,2WD,standard,Makkah,13,2,White,individual,0
